year,month,market,cust_id,cust_segment,comp_mscore,ic_net_score,gdi_net_score,cc_count_as_zside,cc_count_as_aside,net_ibx_presence,net_metro_presence
2001,4,APAC,0,Network,100,100,100,3,0,1,1
2001,4,APAC,1,Network,84.82,69.64,100,0,3,1,1
2001,5,APAC,2,Network,100,100,100,1,0,1,1
2001,5,APAC,0,Network,100,100,100,3,0,1,1
2001,5,APAC,4,Enterprise,84.82,69.64,100,0,1,1,1
2001,5,APAC,1,Network,84.82,69.64,100,0,3,1,1
2001,6,APAC,0,Network,100,100,100,5,0,1,1
2001,6,APAC,2,Network,85.75,71.49,100,1,0,1,1
2001,6,APAC,4,Enterprise,75.51,51.02,100,0,1,1,1
2001,6,APAC,1,Network,73.9,47.8,100,0,3,1,1
2001,6,APAC,10,Cloud & IT Services,73.1,46.2,100,0,2,1,1
2001,7,APAC,0,Network,100,100,100,7,0,1,1
2001,7,APAC,2,Network,85.75,71.49,100,1,0,1,1
2001,7,APAC,4,Enterprise,75.51,51.02,100,0,1,1,1
2001,7,APAC,10,Cloud & IT Services,73.78,47.57,100,0,4,1,1
2001,7,APAC,1,Network,73.22,46.43,100,0,3,1,1
2001,8,APAC,0,Network,100,100,100,11,0,1,1
2001,8,APAC,2,Network,77.95,55.9,100,1,0,1,1
2001,8,APAC,4,Enterprise,70.29,40.58,100,0,1,1,1
2001,8,APAC,10,Cloud & IT Services,68.15,36.3,100,0,4,1,1
2001,8,APAC,20,Cloud & IT Services,68.15,36.3,100,0,4,1,1
2001,8,APAC,1,Network,67.84,35.69,100,0,3,1,1
2001,9,APAC,0,Network,100,100,100,11,0,1,1
2001,9,APAC,2,Network,77.95,55.9,100,1,0,1,1
2001,9,APAC,4,Enterprise,70.29,40.58,100,0,1,1,1
2001,9,APAC,10,Cloud & IT Services,68.15,36.3,100,0,4,1,1
2001,9,APAC,20,Cloud & IT Services,68.15,36.3,100,0,4,1,1
2001,9,APAC,1,Network,67.84,35.69,100,0,3,1,1
2001,10,APAC,0,Network,100,100,100,12,0,1,1
2001,10,APAC,2,Network,77.95,55.9,100,1,0,1,1
2001,10,APAC,4,Enterprise,70.29,40.58,100,0,1,1,1
2001,10,APAC,10,Cloud & IT Services,68.33,36.66,100,0,5,1,1
2001,10,APAC,20,Cloud & IT Services,68.05,36.1,100,0,4,1,1
2001,10,APAC,1,Network,67.77,35.54,100,0,3,1,1
2001,11,AMER,34,Network,100,100,100,151,142,7,6
2001,11,AMER,35,Network,74.44,66.77,82.11,111,12,5,5
2001,11,AMER,36,Network,72.72,46.9,98.54,35,12,6,6
2001,11,AMER,37,Network,63.48,28.41,98.54,0,29,6,6
2001,11,AMER,38,Network,55.87,44.59,67.15,13,26,5,4
2001,11,AMER,39,Network,53.25,24.4,82.11,4,3,5,5
2001,11,AMER,40,Cloud & IT Services,53.12,40.55,65.69,8,32,4,4
2001,11,AMER,41,Network,48.92,32.16,65.69,21,4,4,4
2001,11,AMER,42,Network,37.95,26.62,49.27,7,0,3,3
2001,11,AMER,43,Network,34.29,19.3,49.27,2,10,3,3
2001,11,AMER,1,Network,32.71,16.15,49.27,1,6,3,3
2001,11,AMER,45,Content & Digital Media,31.5,30.15,32.85,7,0,2,2
2001,11,AMER,46,Network,28.75,24.64,32.85,2,0,2,2
2001,11,AMER,47,Network,24.41,15.97,32.85,1,14,2,2
2001,11,AMER,48,Cloud & IT Services,23.91,14.97,32.85,2,0,2,2
2001,11,AMER,49,Cloud & IT Services,21.16,25.89,16.42,0,87,1,1
