cust_id,count,ms,ic,gd,sg
34,134,9724.85,8401.5,11048.22,Network
38,142,8130.81,3286.25,12975.29,Network
0,129,7745.2,8362.02,7128.27,Network
35,120,7131.26,5568.53,8694.07,Network
42,147,6994.32,2885.38,11103.19,Network
1,160,6442.34,2111.58,10773.06,Network
36,82,5606.4,3490.98,7721.99,Network
52,139,5321.22,1474,9168.5,Network
39,120,4680.88,1241.22,8120.58,Network
47,120,4607.06,1003.34,8210.64,Network
40,115,4437.67,1689.65,7185.77,Cloud & IT Services
56,142,4434.48,2566.9,6302.12,Network
37,77,4122.34,911.89,7332.73,Network
41,77,3990.08,1939.36,6040.79,Network
54,151,3002.4,1510.51,4494.3,Network
58,105,2846.2,596.85,5095.59,Content & Digital Media
2,82,2815.28,1817.34,3813.26,Network
75,119,2762.02,1214.61,4309.53,Network
43,77,2647.72,538.32,4756.98,Network
46,84,2596.18,749.73,4442.76,Network
49,82,2592.26,1145.28,4039.29,Cloud & IT Services
45,96,2534.24,798.98,4269.58,Content & Digital Media
4,82,2505.84,1198.65,3813.26,Enterprise
613,125,2468.96,802.79,4135.23,Network
51,77,2431.04,751.8,4110.27,Network
10,81,2363.09,1013.01,3713.26,Cloud & IT Services
20,79,2227.33,941.44,3513.26,Cloud & IT Services
549,68,2197.67,1982.18,2413.26,Network
759,65,2152.36,2191.47,2113.26,Network
64,77,2086.02,348.86,3823.03,Network
65,77,1969.36,395.45,3543.35,Content & Digital Media
189,74,1886.27,759.37,3013.26,Cloud & IT Services
57,77,1867.4,389.13,3345.7,Network
1029,62,1820.39,480.6,3160.04,Network
8717,18,1800,1800,1800,Financial Services
794,65,1767.05,321.36,3212.81,Network
790,65,1756.06,240.2,3271.9,Network
48,77,1718.8,361.34,3076.28,Cloud & IT Services
838,64,1642.11,1220.96,2063.26,Network
289,73,1639.3,282.92,2995.64,Network
609,67,1611.96,910.72,2313.26,Network
852,64,1570.44,1077.8,2063.26,Network
8718,18,1526.76,1253.52,1800,Financial Services
66,77,1485.29,403.36,2567.28,Network
4344,66,1396.24,151.43,2641.1,Network
1034,80,1369.71,504.7,2234.62,Network
768,65,1343.33,573.51,2113.26,Network
2509,50,1336.85,82.12,2591.54,Cloud & IT Services
70,77,1310.21,388.1,2232.3,Network
1916,62,1233.92,664.05,1803.84,Network
