cust_id,count,ms,ic,gd,sg,avgMS,avgIC,avgGD
34,134,9724.85,8401.5,11048.22,Network,72.57350746,62.69776119,82.44940299
38,142,8130.81,3286.25,12975.29,Network,57.25922535,23.14260563,91.37528169
0,129,7745.2,8362.02,7128.27,Network,60.04031008,64.82186047,55.25790698
35,120,7131.26,5568.53,8694.07,Network,59.42716667,46.40441667,72.45058333
42,147,6994.32,2885.38,11103.19,Network,47.58040816,19.62843537,75.53190476
1,160,6442.34,2111.58,10773.06,Network,40.264625,13.197375,67.331625
36,82,5606.4,3490.98,7721.99,Network,68.37073171,42.57292683,94.17060976
52,139,5321.22,1474,9168.5,Network,38.28215827,10.60431655,65.96043165
39,120,4680.88,1241.22,8120.58,Network,39.00733333,10.3435,67.6715
47,120,4607.06,1003.34,8210.64,Network,38.39216667,8.361166667,68.422
40,115,4437.67,1689.65,7185.77,Cloud & IT Services,38.58843478,14.6926087,62.48495652
56,142,4434.48,2566.9,6302.12,Network,31.22873239,18.07676056,44.38112676
37,77,4122.34,911.89,7332.73,Network,53.53688312,11.84272727,95.23025974
41,77,3990.08,1939.36,6040.79,Network,51.81922078,25.18649351,78.45181818
54,151,3002.4,1510.51,4494.3,Network,19.88344371,10.00337748,29.76357616
58,105,2846.2,596.85,5095.59,Content & Digital Media,27.10666667,5.684285714,48.52942857
2,82,2815.28,1817.34,3813.26,Network,34.33268293,22.16268293,46.50317073
75,119,2762.02,1214.61,4309.53,Network,23.2102521,10.20680672,36.21453782
43,77,2647.72,538.32,4756.98,Network,34.38597403,6.991168831,61.77896104
46,84,2596.18,749.73,4442.76,Network,30.90690476,8.925357143,52.89
49,82,2592.26,1145.28,4039.29,Cloud & IT Services,31.61292683,13.96682927,49.25963415
45,96,2534.24,798.98,4269.58,Content & Digital Media,26.39833333,8.322708333,44.47479167
4,82,2505.84,1198.65,3813.26,Enterprise,30.55902439,14.61768293,46.50317073
613,125,2468.96,802.79,4135.23,Network,19.75168,6.42232,33.08184
51,77,2431.04,751.8,4110.27,Network,31.57194805,9.763636364,53.38012987
10,81,2363.09,1013.01,3713.26,Cloud & IT Services,29.17395062,12.5062963,45.84271605
20,79,2227.33,941.44,3513.26,Cloud & IT Services,28.19405063,11.91696203,44.47164557
549,68,2197.67,1982.18,2413.26,Network,32.31867647,29.14970588,35.48911765
759,65,2152.36,2191.47,2113.26,Network,33.11323077,33.71492308,32.51169231
64,77,2086.02,348.86,3823.03,Network,27.09116883,4.530649351,49.64974026
65,77,1969.36,395.45,3543.35,Content & Digital Media,25.5761039,5.135714286,46.01753247
189,74,1886.27,759.37,3013.26,Cloud & IT Services,25.49013514,10.26175676,40.71972973
57,77,1867.4,389.13,3345.7,Network,24.25194805,5.053636364,43.45064935
1029,62,1820.39,480.6,3160.04,Network,29.36112903,7.751612903,50.9683871
8717,18,1800,1800,1800,Financial Services,100,100,100
794,65,1767.05,321.36,3212.81,Network,27.18538462,4.944,49.42784615
790,65,1756.06,240.2,3271.9,Network,27.01630769,3.695384615,50.33692308
48,77,1718.8,361.34,3076.28,Cloud & IT Services,22.32207792,4.692727273,39.95168831
838,64,1642.11,1220.96,2063.26,Network,25.65796875,19.0775,32.2384375
289,73,1639.3,282.92,2995.64,Network,22.45616438,3.875616438,41.03616438
609,67,1611.96,910.72,2313.26,Network,24.05910448,13.59283582,34.52626866
852,64,1570.44,1077.8,2063.26,Network,24.538125,16.840625,32.2384375
8718,18,1526.76,1253.52,1800,Financial Services,84.82,69.64,100
66,77,1485.29,403.36,2567.28,Network,19.28948052,5.238441558,33.3412987
4344,66,1396.24,151.43,2641.1,Network,21.15515152,2.294393939,40.01666667
1034,80,1369.71,504.7,2234.62,Network,17.121375,6.30875,27.93275
768,65,1343.33,573.51,2113.26,Network,20.66661538,8.823230769,32.51169231
2509,50,1336.85,82.12,2591.54,Cloud & IT Services,26.737,1.6424,51.8308
70,77,1310.21,388.1,2232.3,Network,17.01571429,5.04025974,28.99090909
1916,62,1233.92,664.05,1803.84,Network,19.90193548,10.71048387,29.09419355
